idx,DI,C1_enriched,AU_CO_enriched,found
1211,10.1145/3633083.3633161,"[TodorovaC] [SharkovG] [AldewereldH, University of Applied Sciences Utrecht] [LeijnenS, University of Applied Sciences Utrecht] [DehghaniA] [MarroneS, University of Naples Federico II] [SansoneC, University of Naples Federico II] [LynchM] [PughJR] [SinghT] [MezeiK, Budapest University of Technology and Economics] [AntalP, Budapest University of Technology and Economics] [HanákP, Budapest University of Technology and Economics] [BarducciA] [Pérez-TéllezF, Technological University Dublin] [GargiuloF, Consorzio Roma Ricerche]",NL;IT;HU;IE,True
1212,10.1145/3634685,"[BrownN, University of Utah] [XieB, Stanford University] [SarderE, University of Colorado Boulder] [FieslerC, University of Colorado Boulder] [WieseES, University of Utah]",US,True
1213,10.1145/3634814.3634818,"[AminMFI, University of Aizu] [RahmanMM, Dhaka University of Engineering & Technology] [ShirafujiA, University of Aizu] [WatanobeY, University of Aizu]",JP;BD,True
1214,10.1145/3636243.3636251,"[HerbertN, University of Tasmania] [HerbertD, University of Tasmania] [GrayT, University of Tasmania]",AU,True
1215,10.1145/3636243.3636257,"[BudhirajaR, Indraprastha Institute of Information Technology Delhi; Indian Institute of Technology Delhi] [JoshiI, Indraprastha Institute of Information Technology Delhi; Indian Institute of Technology Delhi] [ChallaJS, Birla Institute of Technology and Science, Pilani] [AkolekarHD, Indian Institute of Technology Jodhpur] [KumarD, Indraprastha Institute of Information Technology Delhi; Indian Institute of Technology Delhi]",IN,True
1216,10.1145/3636243.3636259,"[RoestL, Utrecht University] [KeuningH, Utrecht University] [JeuringJ, Utrecht University]",NL,True
1217,10.1145/3636243.3636264,"[BrievenG, University of Liège] [БаумВ, University of Liège] [DonnetB, University of Liège]",BE,True
1218,10.1145/3636341.3636351,"[BauerC, University of Salzburg] [CarteretteB, University of Delaware] [FerroN, University of Padua] [FuhrN, University of Duisburg-Essen] [BeelJ] [BreuerT] [ClarkeCLA] [CrescenziA] [DemartiniG] [NunzioGMD] [DietzL] [FaggioliG] [FerwerdaB] [FröbeM] [HagenM] [HanburyA] [HauffC] [JannachD] [KandoN] [KanoulasE] [KnijnenburgBP] [KruschwitzU] [LiM] [MaistroM] [MichielsL] [PapenmeierA] [PotthastM] [RossoP] [SaidA] [SchaerP] [SeifertC] [SpinaD] [SteinB] [TintarevN] [UrbanoJ] [WachsmuthH] [WillemsenMC] [ZobelJ]",AT;US;IT;DE,True
1219,10.1145/3636515,"[MesserM, King's College London] [BrownNCC, King's College London] [KöllingM, King's College London] [ShiM, Tongji University]",GB;CN,True
1220,10.1145/3636555.3636846,"[PhungT, Max Planck Institute for Software Systems] [PădureanV, Max Planck Institute for Software Systems] [SinghA, University of Michigan] [BrooksC, University of Michigan] [CambroneroJ, Microsoft (United States)] [GulwaniS, Microsoft (United States)] [SinglaA, Max Planck Institute for Software Systems] [SoaresG, Microsoft (United States)]",DE;US,True
1221,10.1145/3636555.3636850,"[HuttS, University of Denver] [DePiroA, CueThink] [WangJ, CueThink] [RhodesS, Georgia Southern University] [BakerRS, California University of Pennsylvania] [HiebG, University of Denver] [SethuramanS, CueThink] [OcumpaughJ, California University of Pennsylvania] [MillsC, University of Minnesota]",US,True
1222,10.1145/3636555.3636905,"[SuraworachetW, University College London] [SeonJ, University College London] [CukurovaM, University College London]",GB,True
1223,10.1145/3637436,"[SchmidtA, LMU Klinikum; Ludwig-Maximilians-Universität München] [ElagroudyP, German Research Centre for Artificial Intelligence] [DraxlerF, LMU Klinikum; Ludwig-Maximilians-Universität München] [KreuterF, LMU Klinikum; Ludwig-Maximilians-Universität München] [WelschR, Aalto University]",DE;FI,True
