Occurrences,Words,Cluster,Color,Cluster_Label,Cluster_Frequency,Cluster_PageRank,Score,Freq,btw_centrality,clos_centrality,pagerank_centrality
29,learning (artificial intelligence),3,#4DAF4A80,artificial intelligence,0.009072424354076795,0.017159763313609466,1.311609383384313,1681,239.65110273937262,0.0021598272138228943,0.009072424354076795
27,computer science,3,#4DAF4A80,artificial intelligence,0.006168206317243339,0.015976331360946745,1.107226883909504,1681,347.07774382789637,0.002178649237472767,0.006168206317243339
27,training,3,#4DAF4A80,artificial intelligence,0.007574466824548378,0.015976331360946745,1.1775399092747563,1681,332.8289490684691,0.002145922746781116,0.007574466824548378
22,plagiarism,3,#4DAF4A80,artificial intelligence,0.004652634358400788,0.01301775147928994,0.8835192918845365,1681,126.66539514556824,0.002136752136752137,0.004652634358400788
23,programming profession,3,#4DAF4A80,artificial intelligence,0.0072527488333159335,0.013609467455621301,1.0431108144468617,1681,169.4519895535479,0.0021321961620469083,0.0072527488333159335
23,surveys,3,#4DAF4A80,artificial intelligence,0.0069104575609867745,0.013609467455621301,1.025996250830404,1681,174.779523747226,0.00211864406779661,0.0069104575609867745
20,codes,3,#4DAF4A80,artificial intelligence,0.0064021904304634005,0.011834319526627219,0.911825497854531,1681,156.63869862274353,0.0021413276231263384,0.0064021904304634005
20,computational thinking,3,#4DAF4A80,artificial intelligence,0.003507503122664168,0.011834319526627219,0.7670911324645693,1681,193.07484557582737,0.002127659574468085,0.003507503122664168
20,modeling,3,#4DAF4A80,artificial intelligence,0.006069683957626912,0.011834319526627219,0.8952001742127066,1681,88.4572892063455,0.002079002079002079,0.006069683957626912
20,problem-solving,3,#4DAF4A80,artificial intelligence,0.006252100931960395,0.011834319526627219,0.9043210229293808,1681,311.6398210624319,0.002197802197802198,0.006252100931960395
20,project-based learning,3,#4DAF4A80,artificial intelligence,0.003165270907510954,0.011834319526627219,0.7499795217069086,1681,172.42345345395452,0.0021321961620469083,0.003165270907510954
19,stem,3,#4DAF4A80,artificial intelligence,0.003992511191951838,0.011242603550295858,0.7617557371123848,1681,238.42786546544966,0.00211864406779661,0.003992511191951838
18,accuracy,3,#4DAF4A80,artificial intelligence,0.005513197373689573,0.010650887573964497,0.8082042473827035,1681,165.88851194593937,0.002028397565922921,0.005513197373689573
18,printing,3,#4DAF4A80,artificial intelligence,0.0061702479457194535,0.010650887573964497,0.8410567759841975,1681,58.00120991819904,0.0020491803278688526,0.0061702479457194535
17,critical thinking,3,#4DAF4A80,artificial intelligence,0.0035965823615893154,0.010059171597633136,0.6827876979611226,1681,123.2961240544886,0.0020920502092050207,0.0035965823615893154
16,educational innovation,3,#4DAF4A80,artificial intelligence,0.0029284043201213868,0.009467455621301775,0.6197929970711581,1681,70.89186309928203,0.002036659877800407,0.0029284043201213868
15,chatbot,3,#4DAF4A80,artificial intelligence,0.002378021720127638,0.008875739644970414,0.5626880682549027,1681,58.01491723752866,0.002066115702479339,0.002378021720127638
15,collaboration,3,#4DAF4A80,artificial intelligence,0.0033233477434249314,0.008875739644970414,0.6099543694197673,1681,158.9126650220929,0.002070393374741201,0.0033233477434249314
15,reflection,3,#4DAF4A80,artificial intelligence,0.0037397771074549153,0.008875739644970414,0.6307758376212665,1681,119.63924588308164,0.0020491803278688526,0.0037397771074549153
15,systematic literature review,3,#4DAF4A80,artificial intelligence,0.0035477227407763627,0.008875739644970414,0.6211731192873389,1681,134.69515293060363,0.002109704641350211,0.0035477227407763627
12,engineering students,3,#4DAF4A80,artificial intelligence,0.0034221934891909282,0.007100591715976331,0.526139260258363,1681,74.70545696248394,0.0020964360587002098,0.0034221934891909282
14,experiential learning,3,#4DAF4A80,artificial intelligence,0.0023332542640470623,0.008284023668639054,0.5308638966343058,1681,128.94347294818593,0.0020964360587002098,0.0023332542640470623
14,student perceptions,3,#4DAF4A80,artificial intelligence,0.003094575898222095,0.008284023668639054,0.5689299783430574,1681,41.99387087104398,0.001984126984126984,0.003094575898222095
14,testing,3,#4DAF4A80,artificial intelligence,0.0039220868324133665,0.008284023668639054,0.610305525052621,1681,65.44043669681676,0.002028397565922921,0.0039220868324133665
13,focusing,3,#4DAF4A80,artificial intelligence,0.004416028642646684,0.007692307692307693,0.6054168167477189,1681,127.33486651100934,0.002061855670103093,0.004416028642646684
13,reviews,3,#4DAF4A80,artificial intelligence,0.004034043312126692,0.007692307692307693,0.5863175502217193,1681,91.32065508929178,0.002079002079002079,0.004034043312126692
